,station_id,station_name,lat,lon,jan_count,feb_count,mar_count,apr_count,may_count,jun_count,jul_count,aug_count,sep_count,oct_count,nov_count,dec_count
0,HB101,Hoboken Terminal - Hudson St & Hudson Pl,40.73593758446329,-74.03030455112457,3464,3258,3596,4223,5023,5345,5449,5916,5181,5347,4227,3473
1,JC009,Hamilton Park,40.727595966,-74.044247311,2551,2168,2686,3325,4305,4483,4656,4672,4139,4243,3362,2622
2,HB401,Southwest Park - Jackson St & Observer Hwy,40.73755127245804,-74.04166370630264,1291,1111,1293,1995,2388,2553,2993,3352,2546,2659,1833,1469
3,HB408,Marshall St & 2 St,40.740802,-74.042521,1303,1120,1315,1772,2169,2358,2646,3065,2390,2900,1969,1526
4,JC082,Manila & 1st,40.72165072487999,-74.04288411140442,1562,1393,1602,2096,2633,2537,2535,2681,2428,2524,2035,1656
5,JC013,Marin Light Rail,40.71458403535893,-74.04281705617905,1726,1604,1911,2778,3235,3767,4281,4472,3385,3336,2547,1864
6,JC103,Journal Square,40.73367,-74.0625,1201,977,1222,1324,1532,1530,1226,1784,1499,1514,1431,1010
7,JC034,Christ Hospital,40.734785818,-74.050443636,558,542,690,918,868,824,1087,1127,829,996,729,632
8,JC102,Grand St,40.71517767732029,-74.03768330812454,1280,1127,1459,1859,2318,2204,2302,2698,1678,2094,1622,1375
9,HB402,Madison St & 1 St,40.73879,-74.0393,1797,1499,1769,2252,2460,2550,3256,3396,2676,2867,2069,1960
10,JC035,Van Vorst Park,40.71848892,-74.047726625,1386,1162,1672,2439,2626,2483,2291,2357,2083,2084,1622,1275
11,HB105,City Hall - Washington St & 1 St,40.73736,-74.03097,3000,2652,3299,4069,4546,4854,5335,5505,4766,4834,3372,2407
12,JC057,Riverview Park,40.7443187,-74.0439909,658,701,907,1166,1275,1321,1399,1472,1275,1371,899,796
13,HB305,9 St HBLR - Jackson St & 8 St,40.74790720968899,-74.03841152787209,1564,1504,1846,2221,2548,2529,2822,2805,2567,2867,2341,1705
14,JC006,Warren St,40.7211236,-74.03805095,1447,1295,1732,2319,2782,2838,3453,3475,2788,2742,2103,1518
15,JC008,Newport Pkwy,40.7287448,-74.0321082,2154,2143,2374,3392,4242,4351,4675,4888,4436,3928,2827,2012
16,JC063,Jackson Square,40.71113,-74.0789,159,126,167,203,253,301,366,394,391,415,267,186
17,JC115,Grove St PATH,40.71941,-74.04309,6115,5981,6739,7639,9528,10204,10681,10996,8542,9704,7493,5415
18,JC098,Washington St,40.724225402,-74.035250783,1601,1284,1785,2446,2279,2959,2686,3303,3139,2592,2120,1469
19,HB601,Church Sq Park - 5 St & Park Ave,40.74265933273143,-74.03223305940628,1674,1418,1764,1926,2546,2311,2802,1699,1508,2459,2081,1571
20,JC084,Communipaw & Berry Lane,40.714340687,-74.066795945,473,420,469,711,758,886,1035,1086,729,762,591,506
21,HB501,Columbus Park - Clinton St & 9 St,40.74816121065146,-74.0324530005455,906,1334,1787,2481,2867,3168,3341,3681,3360,3923,2968,2257
22,JC072,Morris Canal,40.7124188237569,-74.03852552175522,1087,909,1279,1665,2040,2262,2235,2767,2263,1809,1422,1152
23,JC110,JC Medical Center,40.71539114317,-74.04969155788422,1028,928,1313,1808,2613,2529,2847,2926,2181,2148,1468,1059
24,HB507,Adams St & 11 St,40.750915534784994,-74.03354063630104,857,699,825,992,1333,1199,1377,1320,547,0,0,0
25,JC059,Heights Elevator,40.748753786,-74.040587902,446,417,535,717,905,841,982,850,806,717,569,413
26,JC024,Pershing Field,40.742632031,-74.051758766,726,666,872,1206,1341,1199,1246,1380,1240,1348,1147,752
27,JC018,5 Corners Library,40.73496102000952,-74.0595030784607,420,369,425,489,644,613,714,684,632,722,445,313
28,JC053,Lincoln Park,40.7246050998869,-74.07840594649315,364,380,411,747,989,1002,1129,1126,793,546,192,371
29,HB505,Willow Ave & 12 St,40.7518674823282,-74.03037697076797,1219,1157,1319,1763,1935,2001,2271,2608,2285,2387,1690,1459
30,HB302,6 St & Grand St,40.744289279,-74.034373283,1179,1061,1171,1426,1598,1630,2032,2126,1862,2066,1568,1176
31,HB304,7 St & Monroe St,40.74641264837719,-74.03797701001167,1540,1432,1666,2018,2409,2337,2510,2805,2253,2468,2135,1525
32,JC002,Paulus Hook,40.714174628,-74.033504367,1108,962,1255,1685,2175,2176,2485,2562,1699,1850,1257,737
33,JC022,Oakland Ave,40.7376037,-74.0524783,684,636,750,1048,1191,1018,1280,1328,1068,1090,992,669
34,HB301,4 St & Grand St,40.7422579775645,-74.03511106967926,1301,1200,1402,1709,1802,1855,2354,2808,2170,2446,1779,1443
35,HB607,Hudson St & 4 St,40.740935683,-74.028585076,1726,1576,2015,2968,3390,3335,3752,4227,1654,0,0,0
36,JC109,Bergen Ave & Sip Ave,40.73100888698729,-74.06443700194359,2828,2694,3284,3605,3546,2871,4085,4168,3764,3720,3231,2865
37,JC038,Essex Light Rail,40.7127742,-74.0364857,598,646,657,912,1212,1198,1224,606,1219,1149,874,595
38,6089.07,Lexington Ave & E 24 St,40.74025878,-73.98409214,1,0,0,0,0,0,0,0,0,0,0,0
39,JC075,Monmouth and 6th,40.72568548362901,-74.04879033565521,893,804,996,1007,1250,1313,1390,1508,1336,1224,1052,735
40,JC078,Lafayette Park,40.71346382669195,-74.06285852193832,1027,884,1019,1264,1578,1587,1844,1829,1371,1418,1254,1036
41,JC106,Columbus Dr at Exchange Pl,40.71687,-74.03281,1296,0,0,0,0,0,0,0,0,0,0,0
42,HB201,12 St & Sinatra Dr N,40.75060414236896,-74.02402013540268,1275,1319,1865,2431,3731,4340,6689,5237,3587,3322,2281,1767
43,JC104,Harborside,40.7192517,-74.034234,1766,1574,1801,2438,3280,3222,3821,4047,3062,2827,2050,1523
44,5561.06,Lafayette St & Jersey St,40.72456089,-73.99565293,1,5,0,4,10,6,12,8,8,9,8,3
45,JC093,Fairmount Ave,40.72572613742557,-74.07195925712585,792,615,817,825,946,961,1099,1220,983,1131,918,803
46,JC107,Grant Ave & MLK Dr,40.709120631,-74.08077836,129,79,72,115,164,91,194,133,74,109,72,78
47,4889.06,Bus Slip & State St,40.701907,-74.013942,2,0,0,0,1,0,0,0,2,0,0,0
48,JC105,Hoboken Ave at Monmouth St,40.735278487,-74.046784163,2049,1858,2279,2950,3343,3712,3702,3536,3720,3545,2579,1988
49,HB502,11 St & Washington St,40.74998490907138,-74.02715027332306,2152,1845,2250,3070,3926,3569,4062,4068,3503,3731,2871,2288
50,JC003,City Hall,40.717744231,-74.043815732,1972,2371,2286,2869,3176,3513,3475,3452,2886,2947,2346,1672
51,JC094,Glenwood Ave,40.72755146730012,-74.07106071710587,520,440,498,678,625,492,746,756,846,774,566,434
52,JC080,Leonard Gordon Park,40.74571085,-74.057160735,593,539,751,806,1024,881,1060,1013,884,837,611,577
53,HB603,8 St & Washington St,40.74598388291562,-74.02819901704788,2094,2042,2245,2652,3385,2921,3337,3768,3416,3861,3033,2391
54,JC099,Montgomery St,40.719497442,-74.050970912,875,670,820,1166,1408,1313,1363,1470,1355,1331,1066,804
55,5721.14,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,1,0,0,0,0,0,0,0,0,0,0,0
56,HB404,Mama Johnson Field - 4 St & Jackson St,40.743191481,-74.040118098,734,586,791,1048,1304,1239,1639,1744,1572,1831,1166,873
57,JC076,Dixon Mills,40.721620679,-74.050144315,826,782,946,1186,1302,1456,1477,1544,1374,1224,1032,846
58,JC074,Jersey & 3rd,40.72333158646436,-74.04595255851744,1065,1003,1189,1488,1759,1774,1899,1848,1545,1739,1291,1038
59,5297.02,Vesey Pl & River Terrace,40.7153379,-74.01658354,6,3,2,7,7,10,18,9,19,20,4,6
60,JC020,Baldwin at Montgomery,40.72358799,-74.064381123,989,860,933,1434,1418,1388,1884,1879,1579,1218,1158,915
61,HB503,Madison St & 10 St,40.74994325412246,-74.03586477041245,1345,1201,1330,1494,2188,1973,2082,2483,2165,2418,1820,1427
62,JC108,Bergen Ave & Stegman St,40.70657545063453,-74.0867006778717,98,71,79,172,287,208,359,321,237,233,181,124
63,JC019,Hilltop,40.731104851,-74.057471395,782,688,897,1038,1074,1058,1334,1473,1034,1005,785,559
64,JC052,Liberty Light Rail,40.7112423,-74.0557013,1611,1477,1899,2936,3468,3163,3592,3762,2799,2780,2163,1598
65,HB202,14 St Ferry - 14 St & Shipyard Ln,40.75296063046496,-74.02435272932053,1879,1499,1940,3039,4275,3854,804,3588,3186,3198,2383,1861
66,HB303,Clinton St & 7 St,40.745437741,-74.033406019,1800,1737,1931,2363,2726,2707,3036,3259,3317,3280,2480,1999
67,HB203,Bloomfield St & 15 St,40.75453,-74.02658,1177,1192,1408,2028,2391,2258,3557,2960,2462,2313,1644,1301
68,JC097,York St & Marin Blvd,40.716615000830494,-74.0424120426178,286,382,370,579,860,921,841,859,782,792,518,422
69,JC027,Jersey & 6th St,40.725198865,-74.045508504,740,792,981,1227,1415,1144,1224,1239,1197,970,1106,808
70,HB602,Stevens - River Ter & 6 St,40.74313282710551,-74.02698867022991,1088,1410,1572,2171,1751,1476,1768,1994,3018,2713,2395,1430
71,6072.14,Gansevoort St & Hudson St,40.73944820130404,-74.00507032871246,1,2,0,0,0,1,0,0,0,0,0,0
72,6926.01,W 52 St & 11 Ave,40.76727216,-73.99392888,1,0,0,0,0,0,0,1,0,0,1,0
73,JC066,Newport PATH,40.7272235,-74.0337589,2626,2417,3014,3924,4692,4993,5570,5876,3045,4295,3602,2659
74,5207.01,Centre St & Chambers St,40.71273266,-74.0046073,1,1,0,2,3,0,0,1,0,1,1,0
75,JC095,Bergen Ave,40.722103786686034,-74.07145500183105,879,842,905,870,940,935,1130,1202,1012,1041,922,845
76,HB102,Hoboken Terminal - River St & Hudson Pl,40.73604095,-74.029129148,5612,5324,6170,7008,8185,7786,8599,7936,7890,8907,7319,6285
77,HB506,Grand St & 14 St,40.75409,-74.0316,1335,1131,1548,2016,2357,2842,2901,2796,2546,2754,1988,1592
78,4962.02,Whitehall St & Bridge St,40.70366170524135,-74.0131813287735,1,0,0,0,0,0,0,0,0,0,0,0
79,JC065,Dey St,40.737726331,-74.066985726,453,361,428,496,526,466,551,716,571,520,496,371
80,8358.10,Cabrini Blvd & W 177 St,40.848282,-73.941343,1,1,0,0,0,0,0,0,0,0,0,0
81,JC032,Newark Ave,40.721406817,-74.046100855,1626,1433,1831,2171,2758,2936,3066,3306,2384,2692,2203,1697
82,5329.03,West St & Chambers St,40.71754834,-74.01322069,2,2,1,1,2,1,5,6,2,6,2,2
83,JC081,Brunswick & 6th,40.726077676,-74.050448298,1405,1066,1462,1567,1858,1951,1763,2100,1614,1732,1228,1073
84,5532.01,Mercer St & Spring St,40.72362738,-73.99949601,5,2,1,5,0,1,4,5,6,4,4,3
85,5137.10,Spruce St & Nassau St,40.71146364,-74.00552427,1,0,0,0,1,0,0,0,0,1,1,0
